comment,rating
तो पळाला हसत हसत,1
मी पडलो मला लागलं,-1
मला माहित आहे,0
मी हरलो,-1
मी काम करतोय,0
मी ठीक आहे,0
आम्ही जिंकलो,1
आपण सगळे जिंकलो,1
मला कॉल कर,0
मी तुला कॉल करतो,0
आम्हाला कॉल कर,0
तू जेवलास का?,0
एकदम छान घडी घातलिस,1
बाहेर हो,0
दूर हो माझ्या नजरे समोरून,-1
मला मदत कर,0
माझी मदत करा,0
मला वाचवा,0
मला वाचव,0
मी हॅरी आहे,0
माझं नाव हॅरी आहे,0
मी जाडा आहे,0
जाडा असलो तरी खूश आहे,1
मी आजारी आहे,-1
मला ताप आला आहे खूप,-1
माझं पोट दुखतय,-1
ठीक आहे,0
सगळं ठीक होईल,1
झक्कास,1
एकदम झक्कास,1
खूप मजा आली,1
आम्हाला काळजी आहे,1
आपण हरलो,-1
आम्ही हरलो,-1
"वेलकम, प्लीज आत या",0
हे कोणी खाल्लं?,0
एकदम मस्त बनवलं होतं,1
कोण पळाला?,0
का नाही?,0
अजिबात नाही,-1
मागे हो,0
हट कुत्र्या,-1
शांत रहा,0
तू थोडा गप राहशील का?,0
मजा करा,1
आपण मजा करूया,1
खूप मजा येत आहे मला,1
तुम्ही मजा करत आहात ना?,0
मी विसरलो,0
"सॉरी, मी विसरलो",0
मी पूजा करतो,1
मी ते वापरतो,0
मी प्रयत्न करीन,1
मी गरीब आहे,-1
मी श्रीमंत आहे,1
खूप गरमी आहे,-1
काय मस्त वातावरण आहे,1
"हॅरी ला किस कर, तो स्मार्ट आहे",1
हे नवीन आहे,0
सोड मला,0
ती मेली,-1
तू पण मर जाऊन,-1
"ए सांगतोस काय, एकदम सही यार",1
ते जिंकले,1
ते हरले,-1
लॉस झालं यार,-1
खूप प्रॉफिट झाला यार,1
हॅरी हरला ना,-1
हॅरी जिंकला ना,1
तो रडला,-1
ती हसली,1
तो बोलला ,0
ती लाजली,0
हे वापर,0
ते नको वापरुस,-1
बघ मला,0
बघून घेईन तुला,-1
कोण आहेस तू?,0
तूच हसला ना?,0
किती गोड दिसते ती,1
खूप सुंदर आहे ती,1
पक्षी उडत आहे,0
इथे ये,0
खाली बस आणि माझ्यासोबत बोल,0
कुत्रे किती आवाज करतात,0
शी! मला नाही आवडत ते,-1
रडू नको,0
मरु नकोस,0
आज आपण फिरायला जाऊया,1
बाहेर जाऊया आज,1
रेडी हो,0
तय्यार हो,0
ते पकड,0
तू घाणेरडा आहेस,-1
ते धर,0
तो सेक्सी आहे,1
ती सेक्सी आहे,1
तो हॉट आहे,1
ती हॉट आहे,1
हे कसं झालं?,0
तो कमवत नाही,-1
तो खूप कमवतो,1
तो माझा आहे,0
ती माझी आहे,0
झक्क मारली आणि इथे आलो,-1
कसं चाललंय?,0
मस्त चाललंय,1
मी जिंकेन,1
मी नाही जिंकणार,-1
तिच्यासाठी जींकेन,0
तिच्यामुळे हरलो,-1
मी त्याला मारले,-1
त्याने मला मारले,-1
मी तुला बघितलं,0
त्याने मला बघितलं,0
तिने मला बघितलं ,0
मी त्यांना बघितलं,0
किती जोरात ओरडतोस,0
किती छान ओरडतोस,1
मी बोर झालो आहे,0
मला बोर होतंय,-1
कंटाळा आलंय साला,-1
एकदम चींदी आहे,1
खूप सुंदर आहे ते चित्र,1
हे आपलं आहे,0
हा कचरा वास मारतो,-1
जाऊदे ना,0
मला जाऊद्या ना घरी,0
मला आत घ्या,0
तुला कापून टाकेन,-1
धमकी देतोस का रे?,-1
निघून जा इथून,0
टकला तुझा बाप,-1
हैवान आहेस,-1
शैतान आहेस,-1
तू राक्षस आहेस,-1
तू देवी आहेस,1
तू सुंदर आहेस,1
तू खूप नॉटी आहेस,0
तुला समजत नाही का?,0
एकदम चविष्ट जेवण आहे,1
खूप मजा आली ते खाऊन,1
खूप घान होती ती डिश,-1
माझं पोट दुखायला लागलं,-1
तो खोटारडा आहे,-1
ती खोटारडी आहे,-1
ती हरामी आहे,-1
तो हरामी आहे,-1
मला भूक लागली,0
तुला भूक लागली का?,0
काय फालतुगिरी आहे ही?,-1
लय भारी हा,1
भारीच दिसतेस,1
नुसता जाडा झालाय,-1
रेडी झालास का?,0
रेडी झालीस का?,0
तुझाच आहे मी,1
तुझीच आहे मी,1
तो रडला,-1
ती रडली,-1
परत बघ,0
किती स्वीट आहे ती,1
तो किती हँडसम आहे,1
मी नाही आहे हुशार,0
तो मूर्ख आहे,-1
ती मूर्ख आहे,-1
प्लीज चूप रहा,0
चूप रहा नाहीतर मारेन तुला,-1
ती म्हातारी आहे,0
तो म्हातारा आहे,0
बाजूला हो,0
बस ने जा,0
ही बस किती साफ आहे,1
ही बस घाणेरडी आहे,-1
मला कॉल कर,0
मी तुला कॉल करीन,0
शाब्बास,1
"वाह, काय बात आहे",1
टाइम संपला,0
वेळ संपली,0
मी छान आवाज काढतो,1
माझा घसा बसला आहे,-1
मी विसरलो,0
सॉरी माझी चूक झाली,1
मला माफ करा,1
तू बरोबर आहेस,1
तोच मार्ग बरोबर आहे,1
तू कुठे आहेस?,0
तो जाडा आहे,0
तू जाडी आहे,0
सगळे येडे आहे,-1
तू खरच बेकार आहेस,-1
तुला काम धंदा नाहीये,-1
तू मरून जा,-1
काय मस्त दिसतोस,1
काय रापचीक दिसतेस,1
तू सुंदर गीत गातेस,1
तू राणी सारखी दिसतेस,1
तू राजा सारखा दिसतोस,1
आपण लग्न करूया,1
तिला गाणं आवडतं का?,0
तू गातेस का?,0
तू  गातोस का?,0
किती छान गातेस,1
किती अप्रतिम गातोस,1
तू शेव कर,0
हे बघ,0
तू हे सुंदर फूल बघ,1
ती तुला आवडली का?,1
तू त्रास नको देऊस,0
त्रास दिलास तर मारेन,-1
गपचुप चालता हो,-1
निघून जा कायमचा ,-1
आम्ही मुलं आहोत,0
तुम्ही मुली आहात,0
ती मला पायजे ,0
ती माझीच आहे,0
तो माझाच आहे,0
माझी मदत करा प्लीज,0
मदत केल्याबद्दल धन्यवाद,1
मी थांबतो,0
तू थांबशिल का?,0
