comment,rating
To palala hasat hasat,1
Me padlo mala laagla,-1
Mala mahit aahe,0
Me harlo,-1
Me kaam karoty,0
Me theek aahe,0
Aamhi jinklo,1
Aapan sagle jinklo,1
Mala call kar,0
Me tula call karto,0
Amhala call kar,0
Tu jevlas ka? ,0
Ekdum chan ghadi ghatlis ,1
Baher ho,0
Dur ho mjhya najare samorun,-1
Mala madat kar,0
Majhi madat kara,0
Mala vachva,0
Mala vachav,0
Me harry aahe,0
Majha naav harry aahe,0
Me jaada aahe,0
Jaada also tari khush aahe ,1
Me aajari aahe,-1
Mala taap aala aahe khoop,-1
Majha pot dukhtay,-1
Theek aahe,0
Sagla theek hoil,1
Jhakaas,1
Ekdum jhakaas,1
Khoop maja aali,1
Aamhala kalji aahe,1
Aapan harlo,-1
Aamhi harlo,-1
"Welcome, please aat yaa",0
He koni khalla?,0
Ekdum mast banavla hota,1
Kon palala?,0
Ka nahi?,0
Ajjibaat nahi,-1
Maage ho,0
Hatt kutrya,-1
Shanta raha,0
Tu thoda gap rahashil ka?,0
Maja kara,1
Aapan maja karuya,1
Khoop maja yet aahe mala,1
Tumhi maja karat aahat na?,0
Me visarlo,0
"Sorry, me visarlo",0
Me pooja karto,1
me te vaparto,0
me prayatna Karin,1
me gareeb aahe,-1
me shrimant aahe,1
khoop garmi aahe,-1
kay mast vatavaran aahe,1
"harry la kiss kar, to smart aahe",1
he Naveen aahe ,0
sod mala,0
ti meli,-1
tu pan mar jaun,-1
"ay sangtos kay, ekdum sahi yaar",1
te jinkle,1
te harle,-1
loss jhala yaar,-1
khoop profit jhala yaar,1
harry harla na,-1
harry jinkla na,1
to radla,-1
ti hasli,1
to bolla,0
ti lajli,0
he vapar,0
te nako vaprus,-1
bagh mala,0
baghun ghein tula,-1
kon aahes tu?,0
Tuch hasla na?,0
Kiti god diste ti,1
Khoop sundar aahe ti,1
Pakshi udat aahe,0
Ithe ye,0
Khali bas ani majhyasobat bol,0
Kutre kiti aavaj kartaat,0
"Shi, mala nahi aavdat te",-1
Radu nakos,0
Maru nakos,0
Aaj apan firayla jauya,1
Baher jauya aaj,1
Ready ho,0
Tayar ho,0
Te pakad,0
Tu ghanerda aahes,-1
Te dhar ,0
To sexy aahe,1
Ti sexy aahe,1
To hot aahe,1
Ti hot aahe,1
He kasa jhala?,0
to kamvat nahi,-1
to khoop kamavto,1
to majha aahe,0
ti majhi aahe,0
jhakk marli ani ithe aalo,-1
kasa challay?,0
mast challay,1
me jinken,1
me nahi jinknaar,-1
tichyasathi jinken,0
tichyamule harlo,-1
me tyala marle,-1
tyane mala maarle ,-1
me tula baghitla,0
tyane mala baghitla,0
