Marathi,English
तो पळाला हसत हसत,He ran away laughing
मी पडलो मला लागलं,I fell
मला माहित आहे,I know
मी हरलो,I lost
मी काम करतोय,I am working
मी ठीक आहे,I&#39;m fine
आम्ही जिंकलो,We won
आपण सगळे जिंकलो,We all win
मला कॉल कर,Call me
मी तुला कॉल करतो,I call you
आम्हाला कॉल कर,Give us a call
तू जेवलास का?,Did you eat
एकदम छान घडी घातलिस,Full screened ambulance
बाहेर हो,Get out
दूर हो माझ्या नजरे समोरून,Get out of my sight
मला मदत कर,Help me
माझी मदत करा,Help me
मला वाचवा,Save me
मला वाचव,Save me
मी हॅरी आहे,I&#39;m Harry
माझं नाव हॅरी आहे,My name is Harry
मी जाडा आहे,I&#39;m thick
जाडा असलो तरी खूश आहे,Happy despite being thick
मी आजारी आहे,I&#39;m sick
मला ताप आला आहे खूप,I&#39;ve got a fever
माझं पोट दुखतय,My stomach hurts
ठीक आहे,Ok
सगळं ठीक होईल,Everything will be fine
झक्कास,Jest
एकदम झक्कास,Absolutely jittery
खूप मजा आली,It was a lot of fun
आम्हाला काळजी आहे,We care
आपण हरलो,You lose
आम्ही हरलो,We lost
"वेलकम, प्लीज आत या","Welcome, please or"
हे कोणी खाल्लं?,Who ate this?
एकदम मस्त बनवलं होतं,It was made very cool
कोण पळाला?,Who escaped?
का नाही?,Why not
अजिबात नाही,Not at all
मागे हो,Ask me
हट कुत्र्या,Hot dogs
शांत रहा,Kept calm
तू थोडा गप राहशील का?,Will you be quiet
मजा करा,Have fun
आपण मजा करूया,Let&#39;s have fun
खूप मजा येत आहे मला,I&#39;m having a lot of fun
तुम्ही मजा करत आहात ना?,Are you kidding
मी विसरलो,I forgot
"सॉरी, मी विसरलो","Sorry, I forgot"
मी पूजा करतो,I worship
मी ते वापरतो,That&#39;s what I use
मी प्रयत्न करीन,I will try
मी गरीब आहे,I am poor
मी श्रीमंत आहे,I&#39;m rich
खूप गरमी आहे,It&#39;s very hot
काय मस्त वातावरण आहे,What a cool atmosphere
"हॅरी ला किस कर, तो स्मार्ट आहे","Kiss Harry, he&#39;s smart"
हे नवीन आहे,It&#39;s new
सोड मला,Leave me
ती मेली,She died
तू पण मर जाऊन,You too will die
"ए सांगतोस काय, एकदम सही यार","What do you say, perfect man"
ते जिंकले,They won
ते हरले,They lost
लॉस झालं यार,Lost man
खूप प्रॉफिट झाला यार,Very profitable man
हॅरी हरला ना,Harry lost
हॅरी जिंकला ना,Harry won
तो रडला,He cried
ती हसली,She laughed
तो बोलला ,He spoke
ती लाजली,She was ashamed
हे वापर,Use it
ते नको वापरुस,Don&#39;t use it
बघ मला,Look at me
बघून घेईन तुला,Will see you
कोण आहेस तू?,Who are you
तूच हसला ना?,You didn&#39;t laugh?
किती गोड दिसते ती,How sweet it looks
खूप सुंदर आहे ती,She is very beautiful
पक्षी उडत आहे,The bird is flying
इथे ये,Come here
खाली बस आणि माझ्यासोबत बोल,Sit down and talk with me
कुत्रे किती आवाज करतात,How much noise do dogs make?
शी! मला नाही आवडत ते,Shi! I don&#39;t like that
रडू नको,Don&#39;t cry
मरु नकोस,Don&#39;t die
आज आपण फिरायला जाऊया,Let&#39;s go for a walk today
बाहेर जाऊया आज,Let&#39;s go out today
रेडी हो,Ready
तय्यार हो,Be ready
ते पकड,Te caught
तू घाणेरडा आहेस,You are filthy
ते धर,Te dhar
